Tweet,,,
"BREAKING russian subversive group was destroyed in Kyiv Oblast (!), which succeed (!) to get there from the north east Sumy Oblast through the north Chernihiv Oblast.
RussiaUkraineWar",,,
"The pressure on Russia must increase, and Ukraine expects decisive steps against the Russian nuclear industry and the Rosatom corporation, as well as more pressure on the Russian military and banks, -  

StandWithUkraine RussiaUkraineWar ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"RussiaUkraineWar | Russia continues to shell Ukraine amid grinding push in the east 

 with groundreport from Ukraine

Join the broadcast with  ",,,
"Putin’s suspensions comes in context of that disastrous war, which has gravely undermined the capacity and credibility of Russia’s conventional military deterrence 
 

RussiaUkraineWar",,,
"BREAKING russian subversive group was destroyed in Kyiv Oblast (!), which succeed (!) to get there from the north east Sumy Oblast through the north Chernihiv Oblast.
RussiaUkraineWar",,,
"Putin’s suspensions comes in context of that disastrous war, which has gravely undermined the capacity and credibility of Russia’s conventional military deterrence 
 

RussiaUkraineWar",,,
"Putin’s suspensions comes in context of that disastrous war, which has gravely undermined the capacity and credibility of Russia’s conventional military deterrence 
 

RussiaUkraineWar",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"One year ago, on Feb 25, 2022, a Su27 fighter jet of the 831st Tactical Aviation Brigade of the Ukrainian AirForce was mistakenly shot down over Kiev by Ukrainian airdefense 

S400 Russia Ukraine RussiaUkraineWar UkraineRussiaWar NATO NATORUSSIAWAR ProxyWar Russia…  ",,,
"Putin’s suspensions comes in context of that disastrous war, which has gravely undermined the capacity and credibility of Russia’s conventional military deterrence 
 

RussiaUkraineWar",,,
"Putin’s suspensions comes in context of that disastrous war, which has gravely undermined the capacity and credibility of Russia’s conventional military deterrence 
 

RussiaUkraineWar",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"Putin’s suspensions comes in context of that disastrous war, which has gravely undermined the capacity and credibility of Russia’s conventional military deterrence 
 

RussiaUkraineWar",,,
"BREAKING russian subversive group was destroyed in Kyiv Oblast (!), which succeed (!) to get there from the north east Sumy Oblast through the north Chernihiv Oblast.
RussiaUkraineWar",,,
"How to find &amp; track mentions on Twitter

lmy boutiquewebsite gkvacwork emergencylanding iteration petaccessories holbilt warriornun palermo eurovision2023 vision2030 elise russiaukrainewar roblox chibikokomi womeninit audible
",,,
"Ukraine and Ukrainians have suffered immeasurably.
With their lives, with their economy, and the transformation of everyday life.

My piece for _org trying to demonstrate the cost of one year of war.

🧵/1

RussiaUkraineWar 

",,,
"To this end, activity of the voice network of the russian strategic aviation on the training frequency (8131) reported. The transmitter is on. Tu-95ms training flight/ground controller training is possible.
via  .
RussiaUkraineWar",,,
"BREAKING russian subversive group was destroyed in Kyiv Oblast (!), which succeed (!) to get there from the north east Sumy Oblast through the north Chernihiv Oblast.
RussiaUkraineWar",,,
"very unfortunate situation💥

РазомПереможемо ЗСУ
RussiaIsLosing Russia
Ukraine RussiaUkraineWar ",,,
"BREAKING russian subversive group was destroyed in Kyiv Oblast (!), which succeed (!) to get there from the north east Sumy Oblast through the north Chernihiv Oblast.
RussiaUkraineWar",,,
"Putin’s suspensions comes in context of that disastrous war, which has gravely undermined the capacity and credibility of Russia’s conventional military deterrence 
 

RussiaUkraineWar",,,
"Putin’s suspensions comes in context of that disastrous war, which has gravely undermined the capacity and credibility of Russia’s conventional military deterrence 
 

RussiaUkraineWar",,,
"Putin’s suspensions comes in context of that disastrous war, which has gravely undermined the capacity and credibility of Russia’s conventional military deterrence 
 

RussiaUkraineWar",,,
"probed two katsaps for the ability to curl up.

РазомПереможемо ЗСУ
RussiaIsLosing Russia
Ukraine RussiaUkraineWar ",,,
"Putin’s suspensions comes in context of that disastrous war, which has gravely undermined the capacity and credibility of Russia’s conventional military deterrence 
 

RussiaUkraineWar",,,
"Putin’s suspensions comes in context of that disastrous war, which has gravely undermined the capacity and credibility of Russia’s conventional military deterrence 
 

RussiaUkraineWar",,,
"What is the outcome of the RussiaUkraineWar??

🌟There will be an unprecedented opportunity for the New Federal State of China!!

🔥The West will turn to the dismantling of the Chinese Communist Party with NO choice!!! ",,,
"💥🇷🇺💥The work of the BUK-M1 air defense system of the [V] group to defeat a low-flying target at high speed
Direction Ugledar💥🇷🇺💥

👉

StandWithRussia 

RussiaUkraineWar 

Ugledar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"🇷🇺🇺🇦...A UAV operator of the Air Defense Forces of the Russian Armed Forces corrects artillery fire on the positions of Ukrainian nationalists in the Novomikhailovka area.
Putin Russian RussiaUkraineWar RussianUkrainianWar ",,,
"Trudeau doubles down on Ukraine defense with $1 billion military aid – tanks, missiles, and more!
Trudeau Canada RussiaUkraineWar 

",,,
"BREAKING russian subversive group was destroyed in Kyiv Oblast (!), which succeed (!) to get there from the north east Sumy Oblast through the north Chernihiv Oblast.
RussiaUkraineWar",,,
"Meanwhile in Slovenia sponsor of the ""peace protest"" is advertised. No, it's not . PeaceNow RussiaUkraineWar ",,,
"RussiaUkraineWar begun &amp; Covid disappeared. 

Greatest mystery.",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"BREAKING russian subversive group was destroyed in Kyiv Oblast (!), which succeed (!) to get there from the north east Sumy Oblast through the north Chernihiv Oblast.
RussiaUkraineWar",,,
"❗️Great documentary about war in 🇺🇦 by prominent 🇺🇦journalist Dmytro Komarov, who spent this year filming the 🇷🇺/🇺🇦 war from inside. 
With Eng subtitles


RussiaIsATerroristState 
Ukraine UkraineWar UkraineWillWin RussiaUkraineWar RussianUkrainianWar",,,
"🇷🇺 cannot win because the entire western world has lined up behind 🇺🇦. At the same time, 🇷🇺 is a nuclear power, and a nuclear power cannot be cornered because they may trigger a nuclear war. We need a ceasefire and peace talks. The sooner the better. RussiaUkraineWar ",,,
"Putin’s suspensions comes in context of that disastrous war, which has gravely undermined the capacity and credibility of Russia’s conventional military deterrence 
 

RussiaUkraineWar",,,
"What is the outcome of the RussiaUkraineWar??

🌟There will be an unprecedented opportunity for the New Federal State of China!!

🔥The West will turn to the dismantling of the Chinese Communist Party with NO choice!!! ",,,
"🇷🇺 cannot win because the entire western world has lined up behind 🇺🇦. At the same time, 🇷🇺 is a nuclear power, and a nuclear power cannot be cornered because they may trigger a nuclear war. We need a ceasefire and peace talks. The sooner the better. RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"🆕 Out nowOur new web dossier “Pathways to justice for Ukraine”. It explores possibilities for how to address crimes in Russia’s war against Ukraine and calls for strengthening international criminal law. Check it out ➡️
 RussiaUkraineWar Russia ",,,
"BREAKING russian subversive group was destroyed in Kyiv Oblast (!), which succeed (!) to get there from the north east Sumy Oblast through the north Chernihiv Oblast.
RussiaUkraineWar",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar army USA UkraineWarNews ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"BREAKING russian subversive group was destroyed in Kyiv Oblast (!), which succeed (!) to get there from the north east Sumy Oblast through the north Chernihiv Oblast.
RussiaUkraineWar",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"BREAKING russian subversive group was destroyed in Kyiv Oblast (!), which succeed (!) to get there from the north east Sumy Oblast through the north Chernihiv Oblast.
RussiaUkraineWar",,,
"BREAKING russian subversive group was destroyed in Kyiv Oblast (!), which succeed (!) to get there from the north east Sumy Oblast through the north Chernihiv Oblast.
RussiaUkraineWar",,,
"BREAKING russian subversive group was destroyed in Kyiv Oblast (!), which succeed (!) to get there from the north east Sumy Oblast through the north Chernihiv Oblast.
RussiaUkraineWar",,,
"The night hunts of the Ukrainian knights continue.
Snipers of the 28th separate mechanized brigade named after The Knights of the Winter Campaign are eliminated by groups of enemy infantry in the direction of Bakhmut.

StandWithUkraine RussiaUkraineWar

watch here ",,,
"Today's global update👀
All in one place. IsraeliTerrorism RussiaUkraineWar Putin Jordan UnitedKingdom news NewsUpdate NewsUpdates BreakingNews Pakistan Balochistan NigeriaDecides2023 AvianInfluenza  H5N1BadSoonScenario viral Tunisia NATO ItalyEarthquake ",,,
"Ukraine currently has more than UAH 150 billion for the reconstruction of housing and critical infrastructure, - Ukrainian Prime Minister _Shmyhal  

StandWithUkraine RussiaUkraineWar ",,,
"RussiaUkraineWar | Russia to pay increased attention to boosting nuclear forcesPutin

Experts say Russia and Ukraine are preparing to raise the offensive

 brings you this report by 

Watch more ",,,
"Had an in-depth and useful discussion with  on possible future developments in RussiaUkraineWar and the self-serving and non-starter Chinese Peace Plan.
     _Bhat  ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"BREAKING russian subversive group was destroyed in Kyiv Oblast (!), which succeed (!) to get there from the north east Sumy Oblast through the north Chernihiv Oblast.
RussiaUkraineWar",,,
"BREAKING russian subversive group was destroyed in Kyiv Oblast (!), which succeed (!) to get there from the north east Sumy Oblast through the north Chernihiv Oblast.
RussiaUkraineWar",,,
"BREAKING russian subversive group was destroyed in Kyiv Oblast (!), which succeed (!) to get there from the north east Sumy Oblast through the north Chernihiv Oblast.
RussiaUkraineWar",,,
"BREAKING russian subversive group was destroyed in Kyiv Oblast (!), which succeed (!) to get there from the north east Sumy Oblast through the north Chernihiv Oblast.
RussiaUkraineWar",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"BREAKING russian subversive group was destroyed in Kyiv Oblast (!), which succeed (!) to get there from the north east Sumy Oblast through the north Chernihiv Oblast.
RussiaUkraineWar",,,
"Russia can you please chill. Our parents are not allowing us to pursue abroad masters because of you and your WWIII. 
Stop being a big baby. 
RussiaUkraineWar",,,
Spinning mills run on all days in India's knitwear hub Tiruppur as Jan growth brings hopes of post-pandemic revival TiruppurKnitwearHub Covid19 RussiaUkraineWar Tiruppur TamilNadu TextileIndustry IndiaTextileExport  ,,,
"The US believes that Iran supplied the Russians with ammunition, and the Russian Federation may transfer fighter jets in return, - White House spokesman John Kirby

StandWithUkraine RussiaUkraineWar ",,,
"💥🇷🇺💥 Urgently
The enemy reports our DRG in the Kiev region💥🇷🇺💥

👉

StandWithRussia 

RussiaUkraineWar ",,,
 The US government could do it with reduced spending. peace. PeaceAndLove stop the RussiaUkraineWar ☮️,,,
"russian aerial dynamic object, probably a reconnaissance drone, was spotted over the Chernigiv Oblast.
RussiaUkraineWar",,,
"Russia may have run out of Iranian drones as their launches have virtually ceased - British intelligence

StandWithUkraine RussiaUkraineWar ",,,
"Ukraine currently has more than UAH 150 billion for the reconstruction of housing and critical infrastructure, - Ukrainian Prime Minister _Shmyhal  

StandWithUkraine RussiaUkraineWar ",,,
"While the BidenAdministration thinks China is an unwilling participant in RussiaUkraineWar , I actually believe it's a joint war. China knows that Biden needs Zelensky to remain in power to hide his family's corruption, so they know that he would weaken our own military to",,,
"Hundreds of videos online showing nazi 'recruiters' kidnapping male citizens (mainly in minority areas), bundling them off to the front where their survival time is measured in hours.  All ignored by West media.  UkraineRussianWar RussiaUkraineWar NaziUkraine Zelenski ",,,
"russian media reports of another loss of russian Su-25 attack aircraft due to “engine fire”. 
Waiting for confirmation.
RussiaUkraineWar",,,
"Ukraine currently has more than UAH 150 billion for the reconstruction of housing and critical infrastructure, - Ukrainian Prime Minister _Shmyhal  

StandWithUkraine RussiaUkraineWar ",,,
"What is the outcome of the RussiaUkraineWar??

🌟There will be an unprecedented opportunity for the New Federal State of China!!

🔥The West will turn to the dismantling of the Chinese Communist Party with NO choice!!! ",,,
"World War 3 will divide the world into three groups ! 

With the Russia-Ukraine war still raging after a year, many defense experts believe that the world is speeding towards WorldWar3

Video  

RussiaUkraineWar UkraineRussianWar ",,,
"very unfortunate situation💥

РазомПереможемо ЗСУ
RussiaIsLosing Russia
Ukraine RussiaUkraineWar ",,,
"US intelligence reportedly continues to assess that China is seriously considering sending lethal aid to Russia amid continued pressure from Western sanctions regimes on Russia's defense industrial base, - ISW

StandWithUkraine RussiaUkraineWar ",,,
"🇨🇿 The elected president of the Czech Republic, Petr Pavel _pavel, believes that due to the war against Ukraine, the Russian Federation will be unstable for a long time and it is important for NATO to be ready for various scenarios.

StandWithUkraine RussiaUkraineWar ",,,
"National Hackers Russia are attempting to provide targets for Russian missile strikes.

killnet has also done this on occasion, with no confirmed action

cybersecurity infosec RussiaUkraineWar UkraineRussianWar UkraineRussiaWar ",,,
"Russia may have run out of Iranian drones as their launches have virtually ceased - British intelligence

StandWithUkraine RussiaUkraineWar ",,,
"RussiaUkraineWarOne Year On | The Most Definitive Coverage From 5 News Centres |  Global Coverage | 

Ground Reports from Moscow, Kyiv, Washington, London and Paris highlight how the war​ has triggered a severe global economic meltdown. 

",,,
"From Zelensky's deepfake video to the report of a cannibal being recruited by Russia, one year of the RussiaUkraineWar has been marred by disinformation.

(Written by _aug)
 ",,,
"Ukraine currently has more than UAH 150 billion for the reconstruction of housing and critical infrastructure, - Ukrainian Prime Minister _Shmyhal  

StandWithUkraine RussiaUkraineWar ",,,
"Ukrainian President Volodymyr  has said that the Ukrainian peace formula will serve as a basis for new security in Europe and the world.

StandWithUkraine RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"The US believes that Iran supplied the Russians with ammunition, and the Russian Federation may transfer fighter jets in return, - White House spokesman John Kirby

StandWithUkraine RussiaUkraineWar ",,,
"Russian Hackers team have targeted some banks in Canada 

cybersecurity infosec RussiaUkraineWar UkraineRussianWar UkraineRussiaWar ",,,
"From Zelensky's deepfake video to the report of a cannibal being recruited by Russia, one year of the RussiaUkraineWar has been marred by disinformation.

(Written by _aug)
 ",,,
"russian aerial dynamic object, probably a reconnaissance drone, was spotted over the Chernigiv Oblast.
RussiaUkraineWar",,,
"UkraineWarNews UkraineRussiaWar RussiaUkraineWar Ukraina Russia USA NATO WWIII Putin TheyDeserveGitmo CrimesAgainstHumanity 

Zionist Nudelman's coup against Ukraine installed two Zionist president's (Poroshenko and Zelensky)

 ",,,
"Anonymous sudan continues to target Denmark 

( for those wondering, I use the name the groups call themselves)

cybersecurity infosec RussiaUkraineWar UkraineRussiaWar ",,,
"🇷🇺 cannot win because the entire western world has lined up behind 🇺🇦. At the same time, 🇷🇺 is a nuclear power, and a nuclear power cannot be cornered because they may trigger a nuclear war. We need a ceasefire and peace talks. The sooner the better. RussiaUkraineWar ",,,
  I don’t think this is a case of Flat Earther equivalent denial that the RussiaUkraineWar (or NATO war with Russia staffed by Ukrainians) is taking place so much as a criticism of the US/UK media for not being willing to embed on the front lines.,,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"From Zelensky's deepfake video to the report of a cannibal being recruited by Russia, one year of the RussiaUkraineWar has been marred by disinformation.

(Written by _aug)
 ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"Russian Solider firing a PKM at an abandoned Ukrainian S-300 TEL at close range exploding💥 it. 

RussiaUkraineWar S300 UkraineWar Ukraine RussianUkrainianWar russia war warfootage combatfootage airdefence ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"Gotta say, Trump nailed what needs to be done about all the warmongers in DC pushing for WW3 in Ukraine 
PresidentTrump TRUMP2024 RussiaUkraineWar Warmongers TRUMP2024ToSaveAmerica ",,,
"What is the outcome of the RussiaUkraineWar??

🌟There will be an unprecedented opportunity for the New Federal State of China!!

🔥The West will turn to the dismantling of the Chinese Communist Party with NO choice!!! ",,,
"🇺🇦UKRAINE WAR POLL🇺🇦🤡

Ukraine UkraineWar UkraineRussianWar UkraineFrontLines RussiaInvadedUkraine RussiaUkraineWar RussianArmy moneylaundering warzonemobile NATORUSSIANWAR 

Q. How long do you think the Ukraine war will continue for?

❤️Please retweet",,,
"UkraineWarNews UkraineRussiaWar RussiaUkraineWar Ukraina Russia USA NATO WWIII Putin TheNoticing zionist zionists zionism 

Elon Musk dubs 2014 Ukraine regime change a ‘coup’ 


Zionist Nudelman's coup against Ukraine
 ",,,
It’s been a year since Russia attacked Ukraine. We are not naive. We know that the prospects of a mutually acceptable peace deal in the RussiaUkraineWar are dim. But the first step is surely a ceasefire. This is the only way to save lives. ,,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"How Much Does it Cost to Sell on Amazon in 2023?

funny queensland joywins id newcastle nato face olink respecttheranch customgifting loveisland google italy urgent crypto sponsored netflix russiaukrainewar sale 2023feb22coup
",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"🇷🇺 cannot win because the entire western world has lined up behind 🇺🇦. At the same time, 🇷🇺 is a nuclear power, and a nuclear power cannot be cornered because they may trigger a nuclear war. We need a ceasefire and peace talks. The sooner the better. RussiaUkraineWar ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"⚡️ PM of Ukraine ShmygalLeopard 2 tanks are already in Ukraine. Together with Prime Minister , we met the first tanks provided by partners. We are grateful to Poland.
RussiaUkraineWar ",,,
"NATO 
World War III


Face the truth before it's too late


Biden Trump GOPTraitors racism Fascism WhiteSupremacy BLM Ukraine Russia UkraineRussianWar StandWithUkraine RussiaUkraineWar humanity TruthBeTold FactsMatter",,,
"We see who is the boss.

uaarmy Ukraine️ RussiaisATerroistState RussiaUkraineWar CatsOfTwitter CatsOnTwitter Bakhmut Donetsk 
 NewYork Kyiv StandWithUkraine ",,,
It’s been a year since Russia attacked Ukraine. We are not naive. We know that the prospects of a mutually acceptable peace deal in the RussiaUkraineWar are dim. But the first step is surely a ceasefire. This is the only way to save lives. ,,,
"_news_ua It had been constant bombardment in Kherson for more than two days now. A fierce artillery battle commenced the afternoon of February 24 and has rarely stopped since.
RussiaUkraineWar",,,
"Russia may have run out of Iranian drones as their launches have virtually ceased - British intelligence

StandWithUkraine RussiaUkraineWar ",,,
"Worth a readNot politicians, not sanctions - only the battlefield will determine when the war will be over cdnpoli Ukraine RussiaUkrainewar  ",,,
